SMILES,mean
CC(CCCC(CCCC(CCCC1(Oc(c2CC1)c(C)c(C)c(O)c2C)C)C)C)C,0.0
CON=C(c1nc(N)sc1)C(NC2C(=O)N(C23)C(C(O)=O)=CCS3)=O,1.0
ClCc1ccccc1,1.0
NC(C=CN(C1C(O)C(O)C(CO)O1)C2=O)=N2,1.0
CCOC(CC(C(OCC)=O)SP(OC)(OC)=S)=O,0.0
C(c1ccccc1)C(NCC2)=N2,1.0
COc1c(c2ccc1)C(=O)c(c3C2=O)c(O)c(c4c3O)C(OC5OC(C)C(O)C(N)C5)CC(C(CO)=O)(O)C4,1.0
CCO,1.0
NC(c1nn(C2C(O)C(O)C(CO)O2)cn1)=O,0.0
CC(OP(OC(C)C)(F)=O)C,0.0
NCCS,1.0
CC1(CCCCC1)COc2ccc(CC3C(=O)NC(=O)S3)cc2,1.0
CC(COCC(N1CCCC1)CN(c2ccccc2)Cc3ccccc3)C,1.0
CC(C=CC(C(C)(C)CCC1)=C1C)=CC=CC(C)=CC(O)=O,1.0
CC(NCC(COc1c(N2CCOCC2)nsn1)O)(C)C,1.0
CN(CCC(c1ncccc1)c2ccc(Br)cc2)C,0.0
CCOC(C(NC(C(N(C1Cc(c2C1)cccc2)CC(O)=O)=O)C)CCc3ccccc3)=O,1.0
[O-][N+](c1ccc(C=NN2C(=O)NC(=O)C2)o1)=O,1.0
CN1S(=O)(=O)c(c2C(O)=C1C(Nc3noc(C)c3)=O)cccc2,0.0
CON=C(c1nc(N)sc1)C(NC2C(=O)N(C23)C(C(O)=O)=C(CSc4n(C)nnn4)CS3)=O,1.0
CCCNCC(COc1c(C(CCc2ccccc2)=O)cccc1)O,0.0
CC(NCC(c1ccc(NS(C)(=O)=O)cc1)O)C,1.0
CNCCCC1c(c2C=Cc(c13)cccc3)cccc2,0.0
CC(C(O)=O)(Oc1ccc(C2C(Cl)(Cl)C2)cc1)C,1.0
COc1c(C(F)(F)F)c(c2cc1)cccc2C(N(CC(O)=O)C)=S,1.0
COc1c(OC)c(OC)cc(C(NCc2ccc(OCCN(C)C)cc2)=O)c1,1.0
Cc1n(CCO)c([N+]([O-])=O)cn1,0.0
CCOC(C(NC(C(N1C(C(O)=O)CCC1)=O)C)CCc2ccccc2)=O,1.0
C[N+](CCOC(N)=O)(C)C,0.0
Cc1n(CC2C(=O)c3c(n(C)c(c34)cccc4)CC2)ccn1,1.0
CC(NCC(COc1c(C)c(C)c(OC(C)=O)c(C)c1)O)C,0.0
CC1(CC(CC2C1)(N)CC3(C)C2)C3,0.0
ClC(C(C(Cl)(Cl)C12Cl)(Cl)C(C13)C4CC3C=C4)=C2Cl,1.0
CCN(C(C(C#N)=Cc1cc([N+]([O-])=O)c(O)c(O)c1)=O)CC,0.0
CC(OC(C(Oc1ccc(C(c2ccc(Cl)cc2)=O)cc1)(C)C)=O)C,1.0
CCN(C(N1CCN(C)CC1)=O)CC,1.0
CC(NC1C(O)C(OC2C(OS(O)(=O)=O)C(O)C(OC3C(NS(O)(=O)=O)C(OS(O)(=O)=O)C(OC4C(OS(O)(=O)=O)C(O)C(O)C(C(O)=O)O4)C(CO)O3)C(C(O)=O)O2)C(COS(O)(=O)=O)OC1O)=O,1.0
OC1C(O)C(O)C(O)C(O)C1O,0.0
CCCOC(CN1C=C(I)C(=O)C(I)=C1)=O,0.0
CC(C(O)=O)(Oc1ccc(CCNC(c2ccc(Cl)cc2)=O)cc1)C,0.0
CC(C=CC(C(C)(C)CCC1)=C1C)=CC=CC(C)=CC(Nc2ccc(O)cc2)=O,1.0
NCC(c1cc(O)c(O)cc1)O,0.0
CCCCC(COC(C=Cc1ccc(OC)cc1)=O)CC,1.0
C[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C,0.0
NNCCc1ccccc1,0.0
COc1c(OC)cc(c2c1)C(Cc3cc(OC)c(OC)c(OC)c3)[N+](CCCOC(CCC=CCCC(OCCC[N+]4(C(Cc5cc(OC)c(OC)c(OC)c5)c(c6CC4)cc(OC)c(OC)c6)C)=O)=O)(C)CC2,0.0
COc1c(C2(CC3C4)CC(CC4C2)C3)cc(c5cc(c6cc5)ccc(C(O)=O)c6)cc1,0.0
NC(NC(c1ccccc1)=C(Br)C2=O)=N2,1.0
OC(COc1c(Cl)c(Cl)c(C(c2sccc2)=O)cc1)=O,1.0
CC(c1cc(C(C#N)(C)C)cc(Cn2ncnc2)c1)(C#N)C,1.0
ClCC(CBr)Br,1.0
CCC(N(c1ccccc1)C2CCN(CCc3ccccc3)CC2)=O,0.0
N#Cc1ccc(C(n2ncnc2)c3ccc(C#N)cc3)cc1,1.0
CC(c1cc(F)c(c2ccccc2)cc1)C(O)=O,1.0
ClCC=CCl,1.0
NC1C(=O)NOC1,1.0
CCC(c1cc(c2cc1)N(CC(N(C)C)C)c(c3S2)cccc3)=O,0.0
CCOC(C(NC(C(N1C(C(O)=O)CC(C12)CCCC2)=O)C)CCc3ccccc3)=O,0.0
CN(CCN(c1ncccc1)Cc2ccccc2)C,1.0
COCCCOc1c(OC)ccc(CC(C(C)C)CC(C(CC(C(NCC(C(N)=O)(C)C)=O)C(C)C)O)N)c1,0.0
CN(CCc1c(c2[nH]c1)cc(CS(N3CCCC3)(=O)=O)cc2)C,0.0
CN1C(C=Cc2sccc2)=NCCC1,0.0
Cn1c(Sc2c(c3ncn2)[nH]cn3)c([N+](=O)[O-])nc1,1.0
CC1N(c2c(C)cccc2)C(=O)c(c3N1)cc(S(N)(=O)=O)c(Cl)c3,1.0
CCCCCC(C=CC1C(CC=CCCCC(O)=O)C(O)CC1O)O,0.0
OC(CN(CC(N(CC(O)=O)CC(O)=O)COP(OC1CCC(c2ccccc2)(c3ccccc3)CC1)(O)=O)CCN(CC(O)=O)CC(O)=O)=O,1.0
CC(NC1C(OC2C(O)C(O)C(O)C(C(O)=O)O2)C(OS(O)(=O)=O)C(CO)OC1O)=O,1.0
OCC1C(O)C(O)C(O)C(OCC2C(O)C(O)C(O)C(OCC(C(C(C(C=O)O)O)O)O)O2)O1,1.0
CC(N(C)C)CN1c(c2Sc(c13)cccc3)cccc2,0.0
CC(CC(B(O)O)NC(C(NC(c1nccnc1)=O)Cc2ccccc2)=O)C,1.0
CCC(C(c1c(Cl)c(Cl)c(OCC(O)=O)cc1)=O)=C,1.0
COc1c(OC)cc(c2c1)C(N3CC2)CC(=O)C(CC(C)C)C3,0.0
OC(CCCCC1C(C2CS1)NC(=O)N2)=O,0.0
CCN(CCCC(Nc1c(c2ncc1)ccc(Cl)c2)C)CCO,0.0
Nc1ccc(S(Nc2sccn2)(=O)=O)cc1,1.0
NS(Cc1c(c2on1)cccc2)(=O)=O,1.0
CCN(CCOc1c(OCCN(CC)CC)c(OCCN(CC)CC)ccc1)CC,0.0
CCN(CC(Nc1c(C)cccc1C)=O)CC,0.0
NC(OC(c1ccccc1)C2=O)=N2,1.0
C1[n+](c2c([n+]3C1)cccc3)cccc2,1.0
CCCC1(OC(O)=C(C(c2cc(NS(c3ncc(C(F)(F)F)cc3)(=O)=O)ccc2)CC)C(=O)C1)CCc4ccccc4,1.0
CS(c1ccc(C(COC2=O)=C2c3ccccc3)cc1)(=O)=O,1.0
Clc1cc(c2cc1)NC(=O)O2,1.0
CN1C(CCN2c(c3Sc(c24)cccc4)cc(S(C)=O)cc3)CCCC1,1.0
CC(C(c1c(F)cc(F)cc1)(Cn2ncnc2)O)c3c(F)cncn3,1.0
CN(c1nc(N(C)C)nc(N(C)C)n1)C,1.0
CNC(C(C(C)(C)C)NC(C(C(C(NO)=O)O)CC(C)C)=O)=O,1.0
Cc1ccc(O)cc1,1.0
CCc1nccc(C(N)=S)c1,1.0
CCC(C(N)=O)N1C(=O)CCC1,1.0
